"Name","DisplayName","Description","PolicyDefinitionId","EnforcementMode","AssignedBy","Scope","NotScopes","Parameters"
"Deny-IP-Forwarding","Network interfaces should disable IP forwarding","This policy denies the network interfaces which enabled IP forwarding. The setting of IP forwarding disables Azure's check of the source and destination for a network interface. This should be reviewed by the network security team.","/providers/Microsoft.Authorization/policyDefinitions/88c0b9da-ce96-4b03-9635-f29a937e2900","Default","","*"," ",""
"Deny-MgmtPorts-Internet","Management port access from the Internet should be blocked","This policy denies any network security rule that allows management port access from the Internet","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policyDefinitions/Deny-MgmtPorts-From-Internet","Default","","*"," ","effect.value=Deny"
"Deny-Subnet-Without-Nsg","Subnets should have a Network Security Group","This policy denies the creation of a subnet without a Network Security Group to protect traffic across subnets.","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policyDefinitions/Deny-Subnet-Without-Nsg","Default","","*"," ","effect.value=Deny"
"Deploy-VM-Backup","Configure backup on virtual machines without a given tag to a new recovery services vault with a default policy","Enforce backup for all virtual machines by deploying a recovery services vault in the same location and resource group as the virtual machine. Doing this is useful when different application teams in your organization are allocated separate resource groups and need to manage their own backups and restores. You can optionally exclude virtual machines containing a specified tag to control the scope of assignment. See https://aka.ms/AzureVMAppCentricBackupExcludeTag.","/providers/Microsoft.Authorization/policyDefinitions/98d0b9f8-fd90-49c9-88e2-d3baf3b0dd86","Default","","*"," ","effect.value=deployIfNotExists"
"Enable-DDoS-VNET","Virtual networks should be protected by Azure DDoS Protection Standard","Protect your virtual networks against volumetric and protocol attacks with Azure DDoS Protection Standard. For more information, visit https://aka.ms/ddosprotectiondocs.","/providers/Microsoft.Authorization/policyDefinitions/94de2ad3-e0c1-4caf-ad78-5d47bbc83d3d","Default","","*"," ","effect.value=Modify;
ddosPlan.value=/subscriptions/00000000-0000-0000-0000-000000000000/resourceGroups/${parTopLevelManagementGroupPrefix}-mgmt/providers/Microsoft.Network/ddosProtectionPlans/${parTopLevelManagementGroupPrefix}-ddos"
"Deny-Storage-http","Secure transfer to storage accounts should be enabled","Audit requirement of Secure transfer in your storage account. Secure transfer is an option that forces your storage account to accept requests only from secure connections (HTTPS). Use of HTTPS ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking.","/providers/Microsoft.Authorization/policyDefinitions/404c3081-a854-4457-ae30-26a93ef643f9","Default","","*"," ","effect.value=Deny"
"Deploy-AKS-Policy","Deploy Azure Policy Add-on to Azure Kubernetes Service clusters","Use Azure Policy Add-on to manage and report on the compliance state of your Azure Kubernetes Service (AKS) clusters. For more information, see https://aka.ms/akspolicydoc.","/providers/Microsoft.Authorization/policyDefinitions/a8eff44f-8c92-45c3-a3fb-9880802d67a7","Default","","*"," ","effect.value=DeployIfNotExists"
"Deny-Priv-Escalation-AKS","Kubernetes clusters should not allow container privilege escalation","Do not allow containers to run with privilege escalation to root in a Kubernetes cluster. This recommendation is part of CIS 5.2.5 which is intended to improve the security of your Kubernetes environments. This policy is generally available for Kubernetes Service (AKS), and preview for AKS Engine and Azure Arc enabled Kubernetes. For more information, see https://aka.ms/kubepolicydoc.","/providers/Microsoft.Authorization/policyDefinitions/1c6e92c9-99f0-4e55-9cf2-0c234dc48f99","Default","","*"," ","effect.value=deny"
"Deny-Priv-Containers-AKS","Kubernetes cluster should not allow privileged containers","Do not allow privileged containers creation in a Kubernetes cluster. This recommendation is part of CIS 5.2.1 which is intended to improve the security of your Kubernetes environments. This policy is generally available for Kubernetes Service (AKS), and preview for AKS Engine and Azure Arc enabled Kubernetes. For more information, see https://aka.ms/kubepolicydoc.","/providers/Microsoft.Authorization/policyDefinitions/95edb821-ddaf-4404-9732-666045e056b4","Default","","*"," ","effect.value=deny"
"Enforce-AKS-HTTPS","Kubernetes clusters should be accessible only over HTTPS","Use of HTTPS ensures authentication and protects data in transit from network layer eavesdropping attacks. This capability is currently generally available for Kubernetes Service (AKS), and in preview for AKS Engine and Azure Arc enabled Kubernetes. For more info, visit https://aka.ms/kubepolicydoc.","/providers/Microsoft.Authorization/policyDefinitions/1a5b4dca-0b6f-4cf5-907c-56316bc1bf3d","Default","","*"," ","effect.value=deny"
"Enforce-TLS-SSL-Q225","Deny or Deploy and append TLS requirements and SSL enforcement on resources without Encryption in transit","Choose either Deploy if not exist and append in combination with audit or Select Deny in the Policy effect. Deny polices shift left. Deploy if not exist and append enforce but can be changed, and because missing exsistense condition require then the combination of Audit.","${topLevelManagementGroupResourceId}/providers/Microsoft.Authorization/policySetDefinitions/Enforce-EncryptTransit_20241211","Default","","*"," ",""
"Deploy-AzSqlDb-Auditing","Configure SQL servers to have auditing enabled to Log Analytics workspace","To ensure the operations performed against your SQL assets are captured, SQL servers should have auditing enabled. If auditing is not enabled, this policy will configure auditing events to flow to the specified Log Analytics workspace.","/providers/Microsoft.Authorization/policyDefinitions/25da7dfb-0666-4a15-a8f5-402127efd8bb","Default","","*"," ","effect.value=DeployIfNotExists;
logAnalyticsWorkspaceId.value=/subscriptions/00000000-0000-0000-0000-000000000000/resourceGroups/${topLevelManagementGroupPrefix}-mgmt/providers/Microsoft.OperationalInsights/workspaces/${topLevelManagementGroupPrefix}-la"
"Deploy-SQL-Threat","Deploy Threat Detection on SQL servers","This policy ensures that Threat Detection is enabled on SQL Servers.","/providers/Microsoft.Authorization/policyDefinitions/36d49e87-48c4-4f2e-beed-ba4ed02b71f5","Default","","*"," ",""
"Deploy-SQL-TDE","Deploy TDE on SQL servers","This policy ensures that Transparent Data Encryption is enabled on SQL Servers.","/providers/Microsoft.Authorization/policyDefinitions/86a912f6-9a06-4e26-b447-11b16ba8659f","Default","","*"," ",""
"Deploy-vmArc-ChangeTrack","Enable ChangeTracking and Inventory for Arc-enabled virtual machines","Enable ChangeTracking and Inventory for Arc-enabled virtual machines. Takes Data Collection Rule ID as parameter and asks for an option to input applicable locations.","/providers/Microsoft.Authorization/policySetDefinitions/53448c70-089b-4f52-8f38-89196d7f2de1","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleChangeTrackingResourceId};
effect.value=DeployIfNotExists"
"Deploy-VM-ChangeTrack","Enable ChangeTracking and Inventory for virtual machines","Enable ChangeTracking and Inventory for virtual machines. Takes Data Collection Rule ID as parameter and asks for an option to input applicable locations and user-assigned identity for Azure Monitor Agent.","/providers/Microsoft.Authorization/policySetDefinitions/92a36f05-ebc9-4bba-9128-b47ad2ea3354","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleChangeTrackingResourceId};
bringYourOwnUserAssignedManagedIdentity.value=True;
restrictBringYourOwnUserAssignedIdentityToSubscription.value=False;
userAssignedIdentityResourceId.value=${userAssignedManagedIdentityResourceId};
effect.value=DeployIfNotExists"
"Deploy-VMSS-ChangeTrack","Enable ChangeTracking and Inventory for virtual machine scale sets","Enable ChangeTracking and Inventory for virtual machine scale sets. Takes Data Collection Rule ID as parameter and asks for an option to input applicable locations and user-assigned identity for Azure Monitor Agent.","/providers/Microsoft.Authorization/policySetDefinitions/c4a70814-96be-461c-889f-2b27429120dc","Default","","*"," ","dcrResourceId.value=${dataCollectionRuleChangeTrackingResourceId};
bringYourOwnUserAssignedManagedIdentity.value=True;
restrictBringYourOwnUserAssignedIdentityToSubscription.value=False;
userAssignedIdentityResourceId.value=${userAssignedManagedIdentityResourceId};
effect.value=DeployIfNotExists"
