"Name","PolicyType","Mode","DisplayName","Description","Parameters","PolicyRuleIf","PolicyRuleThen"
"Append-CreatedDate-Tag","Custom","Indexed","Append CreatedDate Tag to all Azure Resources","Creates a CreatedDate tag for each Azure Resource","","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Append-AzureHub","Custom","All","Append Azure Hybrid Use Benefits to Windows Server","Append Azure Hybrid Use Benefits licensing to all Windows VMs","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Delete-ExpressRoute-Circuits","Custom","Indexed","Deny resource deletion for ExpressRoute Circuits","This policy denies resource deletion for ExpressRoute Circuits.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Sql-minTLS","Custom","Indexed","Azure SQL Database should have the minimal TLS version set to the highest version","Setting minimal TLS version to 1.2 improves security by ensuring your Azure SQL Database can only be accessed from clients using TLS 1.2. Using versions of TLS less than 1.2 is not reccomended since they have well documented security vunerabilities.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=Audit Disabled Deny;
effect.defaultValue=Audit;
minimalTlsVersion.type=String;
minimalTlsVersion.defaultValue=1.2;
minimalTlsVersion.allowedValues=1.2 1.1 1.0;
minimalTlsVersion.metadata.displayName=Select version for SQL server;
minimalTlsVersion.metadata.description=Select version minimum TLS version SQL servers to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-SqlMi-minTLS","Custom","Indexed","SQL Managed Instance should have the minimal TLS version set to the highest version","Setting minimal TLS version to 1.2 improves security by ensuring your SQL Managed Instance can only be accessed from clients using TLS 1.2. Using versions of TLS less than 1.2 is not recommended since they have well documented security vulnerabilities.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=Audit Disabled Deny;
effect.defaultValue=Audit;
minimalTlsVersion.type=String;
minimalTlsVersion.defaultValue=1.2;
minimalTlsVersion.allowedValues=1.2 1.1 1.0;
minimalTlsVersion.metadata.displayName=Select version for SQL server;
minimalTlsVersion.metadata.description=Select version minimum TLS version SQL servers to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-ContainerDeleteRetentionPolicy","Custom","All","Storage Accounts should use a container delete retention policy","Enforce container delete retention policies larger than seven days for storage account. Enable this for increased data loss protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
minContainerDeleteRetentionInDays.type=Integer;
minContainerDeleteRetentionInDays.metadata.displayName=Minimum Container Delete Retention in Days;
minContainerDeleteRetentionInDays.metadata.description=Specifies the minimum number of days for the container delete retention policy;
minContainerDeleteRetentionInDays.defaultValue=7","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-CopyScope","Custom","All","Allowed Copy scope should be restricted for Storage Accounts","Azure Storage accounts should restrict the allowed copy scope. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
allowedCopyScope.type=String;
allowedCopyScope.metadata.displayName=Allowed Copy Scope;
allowedCopyScope.metadata.description=Specify the allowed copy scope.;
allowedCopyScope.allowedValues=AAD PrivateLink;
allowedCopyScope.defaultValue=AAD","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-CorsRules","Custom","All","Storage Accounts should restrict CORS rules","Deny CORS rules for storage account for increased data exfiltration protection and endpoint protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","anyOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-LocalUser","Custom","All","Local users should be restricted for Storage Accounts","Azure Storage accounts should disable local users for features like SFTP. Enforce this for increased data exfiltration protection.","effect.type=String;
effect.allowedValues=Audit Deny Disabled;
effect.defaultValue=Deny;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deny-Storage-minTLS","Custom","All","[Deprecated] Storage Account set to minimum TLS and Secure transfer should be enabled","Audit requirement of Secure transfer in your storage account. This policy is superseded by https://www.azadvertizer.net/azpolicyadvertizer/fe83a0eb-a853-422d-aac2-1bffd182c5d0.html and https://www.azadvertizer.net/azpolicyadvertizer/404c3081-a854-4457-ae30-26a93ef643f9.html","effect.type=String;
effect.defaultValue=Deny;
effect.allowedValues=Audit Deny Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=The effect determines what happens when the policy rule is evaluated to match;
minimumTlsVersion.type=String;
minimumTlsVersion.defaultValue=TLS1_2;
minimumTlsVersion.allowedValues=TLS1_2 TLS1_1 TLS1_0;
minimumTlsVersion.metadata.displayName=Storage Account select minimum TLS version;
minimumTlsVersion.metadata.description=Select version  minimum TLS version on Azure Storage Account to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
